DateTime,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
2017-12-01 00:00:00,25415.912,21255.352,11733.283
2017-12-01 00:10:00,25006.854,21060.006,11562.097
2017-12-01 00:20:00,24734.115,20644.252,11291.602
2017-12-01 00:30:00,24533.19,20327.332,11082.071
2017-12-01 00:40:00,24332.475,19901.08,10913.637
2017-12-01 00:50:00,24068.643,19565.467,10730.398
2017-12-01 01:00:00,23785.81,19224.781,10622.318
2017-12-01 01:10:00,23543.906,18929.68,10490.767
2017-12-01 01:20:00,23166.871,18656.773,10380.606
2017-12-01 01:30:00,22877.424,18347.154,10299.422
2017-12-01 01:40:00,22683.328,18048.902,10162.752
2017-12-01 01:50:00,22525.426,17794.252,10102.265
2017-12-01 02:00:00,22398.36,17748.955,9983.591
2017-12-01 02:10:00,22269.688,17492.78,9961.598
2017-12-01 02:20:00,22079.025,17476.889,9927.585
2017-12-01 02:30:00,21915.545,17257.352,9882.508
2017-12-01 02:40:00,21801.346,17175.908,9871.293
2017-12-01 02:50:00,21691.223,17151.78,9765.4795
2017-12-01 03:00:00,21588.324,17147.777,9775.117
2017-12-01 03:10:00,21572.564,17100.758,9797.4
2017-12-01 03:20:00,21546.438,16866.424,9775.947
2017-12-01 03:30:00,21528.797,16863.078,9795.52
2017-12-01 03:40:00,21513.887,16876.674,9753.486
2017-12-01 03:50:00,21519.322,16965.135,9781.795
2017-12-01 04:00:00,21251.928,17137.604,9541.537
2017-12-01 04:10:00,21265.277,17133.729,9547.031
2017-12-01 04:20:00,21287.879,17134.87,9567.505
2017-12-01 04:30:00,21292.455,17131.502,9573.085
2017-12-01 04:40:00,21341.682,17138.092,9616.861
2017-12-01 04:50:00,21329.152,17235.027,9660.258
2017-12-01 05:00:00,21516.14,17190.814,9716.097
2017-12-01 05:10:00,21791.236,17261.455,9808.414
2017-12-01 05:20:00,22010.105,17330.033,9885.982
2017-12-01 05:30:00,22472.627,17453.195,9887.442
2017-12-01 05:40:00,22442.576,17417.377,9875.391
2017-12-01 05:50:00,22388.973,17384.863,9825.019
2017-12-01 06:00:00,22268.73,17250.95,9723.369
2017-12-01 06:10:00,22145.785,16893.635,9613.822
2017-12-01 06:20:00,21609.176,16429.025,9414.663
2017-12-01 06:30:00,21158.574,16097.167,9119.804
2017-12-01 06:40:00,20876.54,15913.543,8323.263
2017-12-01 06:50:00,20845.39,15989.795,7864.447
2017-12-01 07:00:00,20968.922,16352.37,7499.131
2017-12-01 07:10:00,21143.58,16453.98,7460.351
2017-12-01 07:20:00,21191.451,16459.033,7449.8823
2017-12-01 07:30:00,21227.943,16728.332,7515.927
2017-12-01 07:40:00,21328.098,17024.117,7460.2905
2017-12-01 07:50:00,21421.023,16953.227,7528.2266
2017-12-01 08:00:00,22461.297,17716.469,7578.047
2017-12-01 08:10:00,22865.459,17808.936,7644.227
2017-12-01 08:20:00,24057.553,18288.182,7830.497
2017-12-01 08:30:00,24637.793,18779.594,8085.422
2017-12-01 08:40:00,24670.836,19249.389,8928.906
2017-12-01 08:50:00,25117.95,19506.967,9071.565
2017-12-01 09:00:00,26059.26,19819.416,9488.885
2017-12-01 09:10:00,26664.998,20322.807,9837.865
2017-12-01 09:20:00,26878.5,20546.967,10057.29
2017-12-01 09:30:00,26935.877,20663.229,10207.782
2017-12-01 09:40:00,27313.459,20999.383,10285.822
2017-12-01 09:50:00,27849.242,21046.627,10767.684
2017-12-01 10:00:00,28273.648,21262.508,11259.973
2017-12-01 10:10:00,28534.824,21434.447,11702.914
2017-12-01 10:20:00,28895.393,21508.316,11950.031
2017-12-01 10:30:00,29133.354,21856.064,12236.264
2017-12-01 10:40:00,29287.748,22212.193,12142.892
2017-12-01 10:50:00,29410.172,22578.027,11759.686
2017-12-01 11:00:00,29514.223,22907.55,11954.713
2017-12-01 11:10:00,29562.6,23233.096,11964.624
2017-12-01 11:20:00,29665.121,23617.2,11940.861
2017-12-01 11:30:00,29729.73,24402.045,11983.837
